
010000', '010001 | Piaget, Jean | El lenguaje y el pensamiento en el niño | Buenos Aires | Guadalupe | 1983 | DESARROLLO DEL LENGUAJE' ;; 'DESARROLLO COGNOSCITIVO' ;; 'TECNICAS DIDACTICAS' ;; 'PSICOLOGIA EVOLUTIVA' ;; 'COMUNICACION VERBAL | 950-500-070-7
010047', '010048', '010049 | Antelo, Estanislao | El renegar de la escuela | Rosario | Homo Sapiens | 2000 | DISCIPLINA' ;; 'SISTEMA DISCIPLINARIO' ;; 'NECESIDADES DEL ALUMNO' ;; 'INTERES' ;; 'MOTIVACION DEL ALUMNO' ;; 'RELACION ALUMNO-DOCENTE' ;; 'AMBIENTE DE LA CLASE' ;; 'PAPEL DEL ALUMNO' ;; 'PAPEL DE LA ESCUELA' ;; 'PRAXIS EDUCATIVA' ;; 'VIOLENCIA | 950-808-269-0
###
010050', '010051', '010052 | Rosbaco, Inés Cristina | El desnutrido escolar | Rosario | Homo Sapiens | 2000 | PROCESO DE APRENDIZAJE' ;; 'DIFICULTADES EN EL APRENDIZAJE' ;; 'RELACION PADRES-HIJOS' ;; 'IDENTIFICACION' ;; 'PAPEL DE LA ESCUELA' ;; 'PSICOLOGIA DE LA EDUCACION' ;; 'IDENTIDAD' ;; 'POBREZA | 950-808-262-3
###
010053', '010054', '010055 | Devries, Rheta | Ambiente sociomoral en el aula | Buenos Aires | Aique | 1999 | EDUCACION MORAL' ;; 'CONSTRUCTIVISMO' ;; 'AMBIENTE DE LA CLASE' ;; 'PSICOLOGIA EVOLUTIVA' ;; 'RELACION ALUMNO-DOCENTE' ;; 'RELACIONES ENTRE PARES' ;; 'INTERACCION SOCIAL' ;; 'DISCIPLINA' ;; 'ACTIVIDADES' ;; 'ROL DEL DOCENTE | 950-701-625-2
###
010056', '010057', '010058 | Burgos, Noemí E. | Nuevos sentidos en la didáctica y el currículum en el nivel inicial | Rosario | Homo Sapiens  | 1998 | DIDACTICA' ;; 'CURRICULO' ;; 'ENSENANZA DE LAS CIENCIAS SOCIALES' ;; 'ENSENANZA DE LAS MATEMATICAS' ;; 'ENSENANZA DE LA LENGUA' ;; 'EDUCACION ARTISTICA | 950-808-215-1
###
010059', '010060', '010061 | Puiggrós, Adriana | Educar | Buenos Aires | Ariel | 1999 | POLITICA EDUCATIVA' ;; 'ESTADO Y EDUCACION' ;; 'PARTICIPACION DE LA COMUNIDAD | 950-9122-64-5
###
010062', '010063', '010064 | Czarny, Marcela | La escuela en internet, internet en la escuela | Rosario | Homo Sapiens  | 2000 | INICIACION A LA INFORMATICA' ;; 'TECNOLOGIA EDUCATIVA' ;; 'DOCENTES' ;; 'ACTIVIDADES DE APRENDIZAJE' ;; 'MEDIOS DE COMUNICACION' ;; 'BUSQUEDA DE INFORMACION' ;; 'SISTEMAS DE INFORMACION' ;; 'TECNOLOGIA DE LA INFORMACION | 950-808-270-4
###
010065', '010066', '010067 | Rodríguez Moneo, María | Conocimiento previo y cambio conceptual | Buenos Aires | Aique | 1999 | PROCESO COGNOSCITIVO' ;; 'PROCESO DEL PENSAMIENTO' ;; 'FORMACION DE CONCEPTOS' ;; 'PSICOLOGIA DE LA EDUCACION' ;; 'PROCESO DE APRENDIZAJE | 950-701-576-0
###
010068', '010069', '010070 | Famiglietti Secchi, María | Didáctica y metodología de la educación tecnológica | Rosario | Homo Sapiens | 2000 |  | 950-808-223-2
###
010071', '010072', '010073 |  | Cuestiones de didáctica de la matemática | Rosario | Homo Sapiens  | 1997 | ENSENANZA DE LAS MATEMATICAS' ;; 'PROCESO COGNOSCITIVO' ;; 'FORMACION DE CONCEPTOS' ;; 'PSICOLOGIA DE LA EDUCACION' ;; 'SOLUCION DE PROBLEMAS' ;; 'CUBA | 950-808-173-2
###
010074', '010075', '010076 | Daviña, Lila R. | Adquisición de la lectoescritura | Rosario | Homo Sapiens  | 1999 | ENSENANZA DE LA LENGUA' ;; 'METODOS DE ENSENANZA' ;; 'PSICOLOGIA DE LA EDUCACION' ;; 'TEORIAS DEL APRENDIZAJE' ;; 'CONSTRUCTIVISMO' ;; 'LIBROS DE LECTURA | 950-808-237-2
###
009435', '009436 | Cervantes Saavedra, Miguel de | Rinconete y Cortadillo | Buenos Aires | Kapelusz | 1980 | NOVELA PICAREZCA' ;; 'NARRATIVA ESPANOLA' ;; 'LITERATURA UNIVERSAL | 
###
009120 | Borsani, María José | Accesibilidad  educativa en la secundaria | Rosario | Homo Sapiens | 2023 | EDUCACION SECUNDARIA' ;; 'CONSTRUCTIVISMO | 978-987-771-187-5
###
009311 |  | Formación ciudadana: Etica y Valores | Montevideo | Arquetipo Grupo Editorial | 2013 | FORMACION ETICA Y CIUDADANA' ;; 'VALORES' ;; 'DERECHOS HUMANOS' ;; 'ACTITUD SOCIAL | 978-9974-706-25-5
###
010084', '010085 | Borges, Jorge Luis | Cuentos | Buenos Aires | Kapelusz | 1998 | LITERATURA ARGENTINA' ;; 'CUENTO FANTASTICO | 950-13-2301-3
###
010086', '010087 | Gradin, Mariano | El buen amor | Buenos Aires | Lenga | 2000 | LITERATURA ARGENTINA | 
###
810088', '810089', '810090 |  | Programación profesional con Visual Basic | Madrid | Ayala | [1997] |  | 
###
920091', '920092 |  | Leonardo da Vinci | Barcelona | Paraninfo | 2003 | EDUCACION ARTISTICA | 
###
010093', '010094 |  | Cuenca del Caribe | San José, Costa Rica | El Instituto | 1986 | GEOGRAFIA | 
###
010095 |  | Planisferio | Buenos Aires | Kapelusz | 1997 | GEOGRAFIA | 
###
009476 | Levitin, Daniel . J. | El cerebro musical | España | RBA Libros | 2014 | MUSICA' ;; 'PSICOLOGIA' ;; 'EMOCIONES' ;; 'CANCIONES | 978-84-9187-342-6
###
800098 |  | Costa Rica | San José | Recope | 1999 | ENSENANZA DE LAS CIENCIAS SOCIALES | 
###
920100', '920101 |  | Enciclopedia multimedia Aula Abierta  | Buenos Aires | El Péndulo | 1997 | EDUCACION' ;; 'ENCICLOPEDIAS | 
###
800102', '800103', '800104 |  | Mapa de recursos minerales de Costa Rica | [San José], Costa Rica | UNED | 1982 | GEOGRAFIA | 
###
009119 | García, Karina | Habilidades del siglo XXI | Ciudad Autónoma de Buenos Aires |  |  | APRENDIZAJE ESCOLAR' ;; 'TECNICAS DE ENSENANZA | 978.987-667-340-2
###
010107', '010108 | Kuhman, Friederich | Sonatina, op, 55, no. 1 | Nueva York | Schiremer | 1983 | PARTITURAS' ;; 'MUSICA PARA PIANO | 
###
910109', ' | Devaus, Jules | To arms! | Nueva York | Lenga | 1977 | MUSICA PARA PIANO' ;; 'PARTITURAS | 
###
800111', '800112 | Strauss, Johann | Leyendas de los bosques de Viena | Madrid | Música moderna | [19--] | MUSICA PARA PIANO' ;; 'PARTITURAS | 
###
010113 |  | The world of ballet | San José [Costa Rica] | Indica | 1973 | MUSICA PARA PIANO' ;; 'MUSICA CLASICA | 
###
810115', '810116 | Beethoven, Ludwing van | Sonatina para piano | Heredia, Costa Rica | Biblioteca Joaquín García Monge. Sección de Audiovisuales | 1987 | MUSICA PARA PIANO | 
###
910117', ' |  | La gallinita sabia | Chicago | Coronet Film | [1950] |  | 
###
 |  | Jardines internos y externos | Buenos Aires | Neumen | 2002 | ECOLOGIA' ;; 'JARDINERIA | 
###
009312 |  | Formación ciudadana: Etica y Valores | Montevideo | Arquetipo Grupo editorial | 2013 | FORMACION ETICA Y CIUDADANA' ;; 'VALORES UNIVERSALES' ;; 'DERECHOS HUMANOS' ;; 'SOCIEDAD' ;; 'MEDIO AMBIENTE | 978-9974-706-26-2
###
010166 | Posse, Beatriz Elena | La situación económica en la Argentina | Buenos Aires | Lenga | 2002 | ECONOMIA' ;; 'PRODUCCION | 950-568-695-X
###
010123', '010124 |  | La Rioja | La Rioja | La Librería | 1999 | TURISMO | 950-24-8803-7
###
010083 | Conte, Oscar | Cuentos de Lanús | Buenos Aires | Lenga | 1997 | LITERATURA ARGENTINA | 
###
 | Valmalla, Leonor | Macetas de cerámica y de plástico |  |  |  | JARDINERIA | 
###
 |  | Abonos orgánicos |  |  |  | JARDINERIA | 
###
010127', '010128', '010129 |  | Te amo! |  |  |  | LITERATURA ARGENTNA | 
###
009335 | Horn, Emily | Disculpe... Es usted una bruja? | CABA | Norma | 2025 | LITERATURA  INFANTIL Y JUVENIL' ;; 'LITERATURA AUSTRALIANA' ;; 'CUENTO | 978-987-545-861-1
###
810132 |  | Energía y ecología | Buenos Aires | Fundación Cuidar | 1996 | ENERGIA' ;; 'PRODUCCION' ;; 'ECOLOGIA | 
###
009477 | Lewis, Clive Staples | Las Cronicas de Narnia | CABA | Destino | 2014 | LITERATURA  INFANTIL Y JUVENIL' ;; 'NARRATIVA IRLANDESA' ;; 'NOVELA FANTASTICA' ;; 'CRIATURAS FANTASTICAS | 978-950-732-227-3
###
010138 | Beraldi, Jorge | Mariposas azules |  |  | 2002 | FOTOGRAFIA | 
###
 | Brown, Cecilia | Jardín en macetas |  |  |  | JARDINERIA | 
###
 | Vargas, Ruperto | Jardines persas |  |  |  | JARDINERIA | 
###
810139', '810140 |  | Guía interactiva de la naturaleza y del medio ambiente |  |  |  | ECOLOGIA' ;; 'MEDIO AMBIENTE | 
###
010141 | Quiroga, Horacio | Cuentos de amor de locura y de muerte | Buenos Aires | Sony | 2000 | LITERATURA | 
###
010142', '010143 | Bach, Richard | Juan Salvador Gaviota | Montevideo | Crunre | 2000 | LITERATURA | 
###
910144', ' | Granados, Manuel | Didáctico de la guitarra flamenca | Barcelona | Ventilador Edicions | c1995 | EDUCACION ARTISTICA' ;; 'EDUCACION MUSICAL | 
###
910146', '910147 | Beraldi, Jorge | Mendoza | Mendoza | Lenga | 2003 | MUSEOS' ;; 'IDENTIDAD' ;; 'FOTOGRAFIA | 
###
900148 |  | La novicia rebelde | California | Twentieth Century-Fox Film Corp. | 1965 |  | 
###
 |  | Bibliotecas y escuelas | Salta | Pizarra | 2001 | BIBLIOTECOLOGIA' ;; 'ESCUELAS | 
###
 | Fallas, Mauricio | Los comics en las bibliotecas escolares |  |  |  |  | 
###
010149 |  | Pop | London | PolyGram | 1997 | MUSICA POP | 
###
010150 |  | El mago de Oz | Madrid | Warner Home Video | 1992 | AMISTAD' ;; 'PELICULA PARA NINOS | 
###
810151 |  | Star wars | Madrid | Twentieth Century-Fox España | c1977 | CIENCIA FICCION' ;; 'AVENTURAS | 
###
010152 |  | Dumbo | Buenos Aires | Walt Disney Home Video | 2001 | CIRCO | 
###
910153 |  | Bambi | Buenos Aires | Walt Disney Home Video | 1999 |  | 
###
 |  | Muy interesante | Buenos Aires | Producciones García Ferré | 1986- | CIENCIA Y TECNOLOGIA | 
###
 |  | Referencias | Buenos Aires | ABGRA | 1994- | CIENCIAS DE LA INFORMACION | 
###
910154 |  | Rompecabezas de la ciudad de Buenos Aires | Buenos Aires | HEM producciones | 2003 | JUEGO DIDACTICO | 
###
010155 | Staffora, Oscar | Las cuatro estaciones del alma |  |  | 2002 |  | 
###
009478 | Shua, Ana Maria | El libro de las mujeres | Buenos Aires | Alfaguara | 2005 | NARRATIVA' ;; 'ANTOLOGIA' ;; 'POESIA' ;; 'COPLAS' ;; 'MITOS' ;; 'LEYENDAS' ;; 'CUENTOS POPULARES' ;; 'MUJERES | 987-04-0208-9
###
010157 | Fallas, Mauricio | [Iglesias de Salta] |  |  | 2003 | IGLESIAS | 
###
010080', '010081 | Flesca, Gerardo | Cuentos de vida | Buenos Aires | Lenga | 2003 | LITERATURA ARGENTINA | 
###
010159 | Beethoven, Ludwing van | Sinfonie No. 5, c-Moll, op.67 | Buenos Aires | Edel Music Argentina | c1995 | MUSICA CLASICA' ;; 'MUSICA PARA PIANO | 
###
010160 |  | La educación argentina en la sociedad del conocimiento | Buenos Aires | Ministerio de Cultura y Educación de la Nación | c 1997 | ESTADO Y EDUCACION | 
###
 |  | Discover en español | Florida | Ideas  Capital | 1997- | FORMACION DE DOCENTES' ;; 'CIENCIA Y TECNOLOGIA | 
###
010161 | Falla, Manuel de | El sombrero de tres picos | London | Chester Music | c1998 | MUSICA CLASICA | 
###
010162 | Vivaldi, Antonio | The four season | United States | Laser Light Digital | c1998 | MUSICA CLASICA | 
###
010163 |  | Base de datos de periódicos | Salta | La Biblioteca | 2002 | CULTURA' ;; 'PUBLICACIONES PERIODICAS | 
###
010164 | Beethoven, Ludwing van | Claro de luna | Madrid | Union Musical | 2000 | MUSICA CLASICA | 
###
010165 |  | Plano de la Capital Federal | Buenos Aires | Editorial Latina | c2001 |  | 
###
000120 | Beraldi, Jorge | La iluminación en fotografía | Buenos Aires | Lenga | 2000 | FOTOGRAFIA | 
###
010322 | Abbadie, M. | El niño en el universo del sonido  | Buenos Aires  | Kapelusz | 1977 | EDUCACION MUSICAL | 
###
010879', '010880', '010881 | Aberastury, Arminda | La adolescencia normal  | Buenos Aires | Paidós | 1982 | ADOLESCENCIA' ;; 'PSICOLOGIA EVOLUTIVA' ;; 'PSICOLOGIA DEL NINO | 950-12-1127-4
###
000365 | Abós, Alvaro | Las organizaciones sindicales y el poder militar [1976-1983]  | Buenos Aires | Centro Editor de América Latina | 1984 | HISTORIA NACIONAL' ;; 'SINDICATOS | 9502500590
###
011920', '011921', '011922', '011923 |  | Los acontecimientos de la actualidad y su utilización en la tarea  del  aula | Buenos Aires | Kapelusz | 1972 | MEDIOS DE COMUNICACION' ;; 'PERIODICOS | 
###
010479', '010480 | Acosta Hoyos, Luis Eduardo | Guía práctica para la investigación y redacción de informes  | Buenos Aires | Paidós | 1972 | ELABORACION DE INFORMES' ;; 'METODOLOGIA DE LA INVESTIGACION | 
###
011290 | Adams, Don | Papel de la educación en el desarrollo nacional  | Buenos Aires | Paidós | 1974 | POLITICAS DE EDUCACION | 
###
011564 | Adams, Georgia Sachs | Medición y evaluación   | Barcelona | Herder | 1975 | MEDICION' ;; 'OBJETIVOS DE LA MEDICION' ;; 'PRUEBAS DE RENDIMIENTO' ;; 'EVALUACION | 
###
012833 | Zielonka, Liliana | Música maestro  | Buenos Aires | Humanitas | 1992 | EDUCACION MUSICAL' ;; 'EDUCACION PREESCOLAR | 9505823169
###
009461', '009462 |  | Diccionario Historico Biografico de los Maestros del Chubut (1868-1930) | Rawson |  |  | DICCIONARIO' ;; 'BIOGRAFIAS ARGENTINAS' ;; 'CHUBUT' ;; 'HISTORIA  REGIONAL' ;; 'MAESTROS | 
###
010078 | Adrados, Isabel | La orientación del niño   | Buenos Aires | Kapelusz | 1973 | ORIENTACION EDUCACIONAL' ;; 'PSICOLOGIA DEL NINO | 
###
011498', '011499 | Aebli, Hans | Una didáctica fundada en la psicología de Jean Piaget  | Buenos Aires | Kapelusz | 1973 | DIDACTICA' ;; 'PSICOLOGIA INFANTIL | 
###
012290', '012289 | Afflek, James Q. | Los niños poco dotados en la clase común  | Buenos Aires | Kapelusz | 1980 | ALUMNOS DE APRENDIZAJE LENTO' ;; 'REUBICACION EN CLASES NORMALES' ;; 'EDUCACION ESPECIAL | 
###
000573 | Agallo Barrios, Armando G. | Dinámica de grupos | Buenos Aires  | Espacio | 1992 | DINAMICA DE GRUPO' ;; 'JUEGOS EDUCATIVOS | 9508020016
###
012692', '012693 | Aguerrondo, Inés | Las instituciones educativas. Cara y seca   | Buenos Aires | Troquel | 1993 | INSTITUCIONES EDUCACIONALES' ;; 'GESTION | 9501630692
###
012573 | Aguerrondo, Inés | El planeamiento educativo como instrumento de cambio | Buenos Aires | Troquel | 1990 | PLANIFICACION DE LA EDUCACION | 
###
000139 | Aguerrondo, Inés | El planeamiento como instrumento de cambio | Buenos Aires | Troquel | 1991 | PLANEAMIENTO EDUCATIVO | 950163048X
###
011679', '011680', '011681 | Agulla, Juan Carlos | Educación, sociedad y cambio social | Buenos Aires | Kapelusz | 1973 | CAMBIO SOCIAL' ;; 'EDUCACION Y DESARROLLO | 
###
011436', '011437 | Agulla, Juan Carlos | Sociología de la educación | Buenos Aires | Paidós | 1976 | SOCIOLOGIA DE LA EDUCACION | 
###
010434 | Cohen, Rachel | Aprendizaje precoz de la lectura | Madrid | Cincel | 1980 | EDUCACION PREESCOLAR' ;; 'INICIACION EN LA LECTURA' ;; 'MADUREZ PARA LA LECTURA' ;; 'LECTURA | 
###
000066 | Aime, Susana M. | Lengua vosz en onda. Módulo 1 | Buenos Aires | Estrada | 1992 | LENGUAJE' ;; 'ENSENANZA DE LA LENGUA MATERNA' ;; 'LIBROS DE TEXTO | 9500104605
###
008703 |  | El mar de los Poetas | Rawson |  |  | POESIA' ;; 'ANTOLOGIA' ;; 'LITERATURA' ;; 'CHUBUT | 
###
000068', '000069 | Aime, Susana M. | Lengua vosz en onda. Módulo 2 | Buenos Aires | Estrada | 1993 | ENSENANZA DE LA LENGUA MATERNA' ;; 'LENGUAJE' ;; 'LIBROS DE TEXTO | 9500104605
###
000078', '000080', '000082 | Aime, Susana M. | Lengua | Buenos Aires | Estrada | 1995 | ENSENANZA DE LA LENGUA MATERNA' ;; 'LENGUAJE' ;; 'LIBROS DE TEXTO | 950-01-0544-6
###
000079', '000081', '000083 | Aime, Susana M. | Lengua, voz en creación  | Buenos Aires | Estrada | 1995 | ENSENANZA DE LA LENGUA MATERNA' ;; 'LENGUAJE' ;; 'LIBROS DE TEXTO | 950-01-0540-3
###
009459 |  | Historias de vida de maestros chubutenses | Trelew | Secretaria General de la Gobernación | 1996 | BIOGRAFIAS' ;; 'MAESTROS CHUBUTENSES' ;; 'REVISTA | 
###
000070', '000071 | Aime, Susana M. | Lengua vosz en onda. Módulo 3  | Buenos Aires | Estrada | 1993 | ENSENANZA DE LA LENGUA MATERNA' ;; 'LENGUAJE' ;; 'LIBROS DE TEXTO | 9500104605
###
009474 |  | Cartilla informativa  (01 a 13) 2014-2015 | Trelew |  | 2015 | CARTILLA INFORMATIVA' ;; 'SIMBOLOS NACIONALES' ;; 'ELECCION DE ABANDERADOS Y ESCOLTAS' ;; 'EDUCACION | 
###
000277 | Aisenstein, Angela | Curriculum presente, ciencia ausente | Buenos Aires | Miño y Dávila | 1995 | EDUCACION FISICA | 9509467626
###
013066', '013080', '013089 | Alderoqui, Silvia | Urbania 5 | Buenos Aires | Estrada | 1995 | CIENCIAS SOCIALES' ;; 'LIBROS DE TEXTO | 9500105677
###
010451', '010817 | Alexander, Gerda | La  eutonia   | Barcelona | Paidós | 1983 | DESARROLLO MOTOR | 
###
000197', '000198', '000281 | Alexandre, Mario | Instrucción cívica  | Buenos Aires | Civismo | 1994 | EDUCACION CIVICA | 9505143273
###
012597 | Alexandrova, Irina | Educación de la voz   | Buenos Aires | Kapelusz | 1986 | FONETICA | 
###
012575', '003909 | Kaufman, Ana María | Alfabetización de niños, construcción e intercambio   | Buenos Aires | Aique | 1989 | INCIACION EN LA LECTURA' ;; 'LECTURA' ;; 'ENSENANZA DE LA ESCRITURA' ;; 'ESCRITURA' ;; 'ALFABETIZACION' ;; 'EDUCACION PREESCOLAR | 
###
000588 | Alfiz, Irene | El  proyecto institucional   | Buenos Aires | Aique | 1997 | INSTITUCIONES EDUCACIONALES | 950701442X
###
010356 | Almy, Millie | La tarea del educador preescolar  | Buenos Aires | Marymar | 1977 | EDUCACION PREESCOLAR' ;; 'PAPEL DEL DOCENTE | 
###
000503 | Alonso, María Ernestina | Cómo aprenden las personas a respetar los derechos humanos  | Buenos Aires  | Troquel | 1998 | EDUCACION CIVICA' ;; 'DERECHOS HUMANOS' ;; 'SOCIALIZACION' ;; 'LIBROS DE TEXTO | 9501664767
###
000504 | Alonso, María Ernestina | Los derechos  de las personas  | Buenos Aires | Troquel | 1998 | EDUCACION CIVICA' ;; 'DERECHOS HUMANOS' ;; 'LIBROS DE TEXTO | 950-16-6475-9
###
000512 | Alonso, María Ernestina | Educación ética, repensando la educación cívica   | Buenos Aires | Troquel | 199? | EDUCACION CIVICA' ;; 'ETICA | 
###
013085', '000470', '000497 | Alonso, María Ernestina | Repensando la educación cívica   | Buenos Aires | Troquel | 1996 | EDUCACION CIVICA' ;; 'LIBROS DE TEXTO' ;; 'DERECHOS CIVICOS | 9501664732
###
000530 | Alonso, María Ernestina | La historia de las sociedades, del origen del hombre a la Europa moderna | Buenos Aires | Aique | 1997 | CIENCIAS SOCIALES' ;; 'HISTORIA UNIVERSAL' ;; 'LIBROS DE TEXTO | 950-701-404-7
###
000543', '000647 | Alonso, María Ernestina | Los derechos humanos en las sociedades contemporáneas                       Los derechos civiles      | Buenos Aires | Troquel | 1998 | EDUCACION CIVICA' ;; 'DERECHOS HUMANOS' ;; 'DERECHOS CIVICOS' ;; 'LIBROS DE TEXTO | 9501664783
###
000545', '000648 | Alonso, María Ernestina | Personas, sociedades y culturas   | Buenos Aires | Troquel | 1998 | EDUCACION CIVICA' ;; 'DERECHOS HUMANOS' ;; 'DERECHOS CIVICOS' ;; 'LIBROS DE TEXTO | 9501664700
###
000006 | Alonso, María Ernestina | Historia argentina y el mundo contemporáneo  | Buenos Aires | Aique | 1995 | CIENCIAS SOCIALES' ;; 'HISTORIA NACIONAL' ;; 'LIBROS DE TEXTO | 950-701-203-6
###
000548', '000547 | Coll, César Salvador | Aprendizaje escolar y construcción del conocimiento  | Buenos Aires | Paidós | 1996 | PROCESO DE APRENDIZAJE' ;; 'ACTIVIDADES DE APRENDIZAJE' ;; 'PSICOLOGIA DEL APRENDIZAJE' ;; 'APRENDIZAJE | 9501220923
###
012715 | Alvarado, Maite | El lecturón   | Buenos Aires | Libros del Quirquincho | 1989 | LENGUAJE' ;; 'ACTIVIDADES DE APRENDIZAJE' ;; 'ESCRITURA' ;; 'MEJORA DE LA ESCRITURA' ;; 'LECTURA | 95073750X
###
012670 | Alvarado, Maite | El pequeño lecturón   | Buenos Aires | Libros del Quirquincho | 1991 | LENGUAJE' ;; 'ESCRITURA' ;; 'MEJORA DE LA ESCRITURA' ;; 'ACTIVIDADES DE APRENDIZAJE' ;; 'LECTURA | 95073772X
###
000565 | Alvarado, Maite | Los hacedores de textos   | Buenos Aires | El Hacedor | 1997 | LENGUAJE' ;; 'ESCRITURA' ;; 'MEJORA DE LA ESCRITURA' ;; 'LIBROS DE TEXTO' ;; 'ENSENANZA DE LA LENGUA MATERNA | 987-99286-8-7
###
000587 | Alvarez-Novoa, Carlos | Dramatización   | Madrid | Octaedro | 1997 | TEATRO' ;; 'ENSENANZA DE ARTE DRAMATICO' ;; 'EDUCACION ARTISTICA | 848063104X
###
012572 | Alvarez, Luciano | Medios de comunicación y trampas a la democracia   | Buenos Aires | Humanitas - Claeh | 1990 | COMUNICACION' ;; 'MEDIOS DE COMUNICACION' ;; 'PRENSA | 950-582-286-X
###
011503', '011502 | Alves de Mattos, Luiz | Compendio de didáctica general  | Buenos Aires | Kapelusz | 1982 | DIDACTICA | 
###
012760 | Allasia, María Guadalupe | Nace el amor  | Buenos Aires | Plus Ultra | 1980 | POESIAS' ;; 'POESIAS ROMANTICAS' ;; 'LITERATURA JUVENIL' ;; 'LITERATURA ARGENTINA | 950-21-0845-7
###
011826 | Allen, Dwight | Microenseñanza   | Buenos Aires | El Ateneo | 1978 | FORMACION  DOCENTE' ;; 'PERFECCIONAMIENTO DEL DOCENTE | 
###
010562 | Anastasi, Anne | Psicología aplicada | Buenos Aires | Kapelusz | 1978 | PSICOLOGIA | 
###
